time_s,time,person_id,mode,mode_original,x,y,leg_index,status,vehicleRefId,pt_transitLineId,pt_transitRouteId,pt_transportMode,activity_type,activity_sequence,activity_link,activity_dist_km,activity_match_type,activity_count,activity_types
23400,6:30:00,car_agent_52,walk,walk,302301.05,2769507.0,0,in_leg,,,,,home,0,51390,0.0,spatial,3,"car interaction,home,work"
23400,6:30:00,car_agent_54,walk,walk,303763.41,2771719.82,0,in_leg,,,,,home,0,102932,0.0,spatial,3,"car interaction,home,work"
23400,6:30:00,car_agent_57,walk,walk,302503.61,2771706.94,0,in_leg,,,,,home,0,90941,0.0,spatial,3,"car interaction,home,work"
23400,6:30:00,car_agent_60,walk,walk,306881.99,2769536.16,0,in_leg,,,,,home,0,88079,0.0,spatial,3,"car interaction,home,work"
23400,6:30:00,car_agent_67,walk,walk,303359.48,2769635.93,0,in_leg,,,,,home,0,61869,0.0,spatial,3,"car interaction,home,work"
23400,6:30:00,car_agent_73,walk,walk,304996.85,2770512.5,0,in_leg,,,,,home,0,131549,0.0,spatial,3,"car interaction,home,work"
23400,6:30:00,pt_agent_11,walk,walk,303932.15,2767521.08,0,in_leg,,,,,home,0,161309,0.0,spatial,3,"home,pt interaction,work"
23400,6:30:00,pt_agent_12,walk,walk,303302.34,2768177.9,0,in_leg,,,,,home,0,133441,0.0,spatial,3,"home,pt interaction,work"
23400,6:30:00,pt_agent_13,walk,walk,302767.5,2768800.55,0,in_leg,,,,,home,0,160299,0.0,spatial,3,"home,pt interaction,work"
23400,6:30:00,pt_transfer_agent_27,walk,walk,303302.34,2768177.9,0,in_leg,,,,,home,0,133441,0.0,spatial,3,"home,pt interaction,work"
23400,6:30:00,pt_transfer_agent_34,walk,walk,303359.48,2769635.93,0,in_leg,,,,,home,0,61869,0.0,spatial,3,"home,pt interaction,work"
23400,6:30:00,pt_transfer_agent_37,walk,walk,307533.02,2769486.82,0,in_leg,,,,,home,0,142285,0.0,spatial,2,"home,work"
23401,6:30:01,pt_agent_11,walk,walk,303932.14513872826,2767521.0844866903,0,in_leg,,,,,pt interaction,1,pt_G07_UP,0.0,spatial,3,"home,pt interaction,work"
23401,6:30:01,pt_agent_12,walk,walk,303302.3410947753,2768177.899187549,0,in_leg,,,,,pt interaction,1,pt_G08_UP,0.0,spatial,3,"home,pt interaction,work"
23401,6:30:01,pt_agent_13,walk,walk,302767.4955182893,2768800.5491248276,0,in_leg,,,,,pt interaction,1,pt_G09_UP,0.0,spatial,3,"home,pt interaction,work"
23401,6:30:01,pt_transfer_agent_27,walk,walk,303302.3410947753,2768177.899187549,0,in_leg,,,,,pt interaction,1,pt_G08_UP,0.0,spatial,3,"home,pt interaction,work"
23401,6:30:01,pt_transfer_agent_34,walk,walk,303359.4757763461,2769635.9259388153,0,in_leg,,,,,pt interaction,1,pt_R07_DN,0.0,spatial,3,"home,pt interaction,work"
23402,6:30:02,car_agent_57,walk,walk,302502.98145308736,2771704.199149313,0,in_leg,,,,,car interaction,1,90941,0.0,spatial,3,"car interaction,home,work"
23402,6:30:02,car_agent_60,walk,walk,306882.0435191901,2769538.632510682,0,in_leg,,,,,car interaction,1,88079,0.0,spatial,3,"car interaction,home,work"
23403,6:30:03,car_agent_52,walk,walk,302304.32684472116,2769509.185824118,0,in_leg,,,,,car interaction,1,51390,0.0,spatial,3,"car interaction,home,work"
23407,6:30:07,car_agent_67,walk,walk,303360.557144235,2769643.64888984,0,in_leg,,,,,car interaction,1,61869,0.0,spatial,3,"car interaction,home,work"
23408,6:30:08,car_agent_54,walk,walk,303772.09762209293,2771719.406602792,0,in_leg,,,,,car interaction,1,102932,0.0,spatial,3,"car interaction,home,work"
